player_id,saison,goals,assists
3333,2007,3.0,3.0
3333,2009,12.0,16.0
3333,2024,0.0,2.0
4391,2024,0.0,0.0
5336,2024,0.0,0.0
7161,2014,3.0,0.0
7161,2022,14.0,12.0
7161,2024,8.0,12.0
7825,2024,0.0,0.0
9500,2024,0.0,1.0
11530,2024,0.0,1.0
12282,2024,3.0,2.0
12589,2024,0.0,0.0
12880,2024,0.0,0.0
12907,2024,0.0,0.0
14086,2024,1.0,0.0
14132,2024,3.0,1.0
14881,2024,0.0,0.0
15452,2024,0.0,1.0
15570,2024,0.0,0.0
15956,2024,0.0,2.0
16136,2024,1.0,1.0
16306,2012,1.0,0.0
16306,2014,4.0,3.0
16306,2021,1.0,4.0
16306,2024,5.0,3.0
16756,2003,1.0,0.0
16756,2004,8.0,3.0
16756,2006,5.0,0.0
16756,2024,0.0,0.0
16911,2024,0.0,0.0
17259,2024,0.0,0.0
18644,2006,18.0,0.0
18644,2008,19.0,5.0
18644,2012,31.0,4.0
18644,2014,6.0,5.0
18644,2016,10.0,4.0
18644,2024,0.0,0.0
18940,2024,0.0,0.0
19041,2004,3.0,2.0
19041,2006,2.0,3.0
19041,2010,3.0,4.0
19041,2014,1.0,0.0
19619,2024,0.0,0.0
20005,2007,3.0,2.0
20005,2009,6.0,5.0
20005,2012,9.0,7.0
20005,2013,4.0,6.0
20005,2019,8.0,18.0
20005,2024,0.0,0.0
20506,2006,5.0,5.0
20506,2014,1.0,1.0
20506,2016,2.0,9.0
20506,2024,0.0,0.0
21306,2024,1.0,0.0
22141,2024,0.0,0.0
22628,2024,0.0,0.0
22860,2024,0.0,0.0
23523,2024,0.0,0.0
23553,2024,13.0,2.0
23951,2024,0.0,0.0
24202,2024,0.0,0.0
24846,2024,0.0,0.0
25289,2024,0.0,0.0
25488,2012,7.0,13.0
25488,2015,12.0,4.0
25488,2020,5.0,8.0
25488,2022,7.0,5.0
25488,2024,7.0,6.0
25508,2024,0.0,1.0
25557,2024,7.0,1.0
25732,2024,0.0,0.0
25734,2024,0.0,1.0
26485,2024,0.0,0.0
27178,2024,1.0,0.0
27389,2007,6.0,0.0
27389,2010,24.0,5.0
27389,2012,9.0,3.0
27389,2015,29.0,7.0
27389,2017,11.0,4.0
27389,2024,4.0,2.0
27490,2024,0.0,0.0
27493,2024,0.0,0.0
27706,2024,0.0,0.0
27992,2007,,
27992,2011,5.0,5.0
27992,2024,2.0,8.0
28140,2010,18.0,7.0
28140,2014,17.0,5.0
28140,2017,11.0,4.0
28140,2024,1.0,4.0
28356,2024,0.0,0.0
28396,2006,13.0,3.0
28396,2009,29.0,13.0
28396,2015,10.0,4.0
28396,2020,13.0,5.0
28396,2024,23.0,9.0
